positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
57,4.060443010546419,2.99,1.3837912309017721,0,0,0,1,2008,TRUE,FALSE,FALSE,2,1,3,FALSE
2165,7.680637427560936,2.99,1.3837912309017721,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,3,TRUE
146,4.990432586778736,2.99,1.3837912309017721,0,0,0,1,2008,TRUE,FALSE,FALSE,2,1,3,FALSE
1664,7.417580402414544,3.99,1.6074359097634274,0,0,0,1,2009,TRUE,FALSE,FALSE,4,1,3,TRUE
34,3.5553480614894135,1.99,1.095273387402595,0,0,0,1,2009,TRUE,FALSE,FALSE,2,1,3,FALSE
539,6.29156913955832,3.99,1.6074359097634274,0,0,0,1,2009,TRUE,FALSE,FALSE,3,1,3,FALSE
8725,9.074062353683555,19.99,3.0440461338325417,0,0,0,1,2007,TRUE,TRUE,FALSE,2,1,3,TRUE
1964,7.583247524303362,6.99,2.0781907597781832,0,0,16,1,2007,TRUE,FALSE,FALSE,2,2,3,TRUE
1223,7.1098794630722715,4.99,1.7900914121273581,0,0,0,1,2007,TRUE,FALSE,FALSE,4,1,3,TRUE
89,4.499809670330265,3.99,1.6074359097634274,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,3,FALSE
1779,7.484368643286131,6.99,2.0781907597781832,0,0,16,1,2008,TRUE,FALSE,FALSE,1,2,3,TRUE
1028,6.9363427358340495,6.99,2.0781907597781832,0,0,0,1,2009,TRUE,FALSE,FALSE,3,2,3,TRUE
33636,10.423381930561995,9.99,2.39698576841553,50,3.9318256327243257,18,1,2010,TRUE,FALSE,FALSE,4,2,3,TRUE
78,4.3694478524670215,0,0,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,2,FALSE
44,3.8066624897703196,0,0,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,2,FALSE
69,4.248495242049359,1.99,1.095273387402595,0,0,0,1,2008,TRUE,FALSE,FALSE,1,1,2,FALSE
218,5.389071729816501,22.99,3.177637076851603,0,0,0,1,2008,TRUE,TRUE,FALSE,1,1,3,FALSE
583,6.369900982828227,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
8317,9.026177120302856,0,0,0,0,0,1,2010,TRUE,TRUE,FALSE,6,5,3,TRUE
1684,7.429520842786462,2.49,1.2499017362143359,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,TRUE
174,5.1647859739235145,4.99,1.7900914121273581,0,0,0,1,2012,TRUE,FALSE,FALSE,2,3,3,FALSE
1396,7.242082359256962,5.99,1.944480556245719,0,0,0,1,2007,TRUE,TRUE,FALSE,1,1,3,TRUE
79442,11.282795062356453,19.99,3.0440461338325417,80,4.394449154672439,18,1,2013,TRUE,TRUE,TRUE,5,1,3,TRUE
197,5.288267030694535,2.99,1.3837912309017721,0,0,0,1,2009,TRUE,FALSE,FALSE,2,2,3,FALSE
121,4.804021044733257,2.99,1.3837912309017721,0,0,0,1,2009,TRUE,FALSE,FALSE,2,2,3,FALSE
129030,11.767807964551487,19.99,3.0440461338325417,286,5.659482215759621,0,1,2010,TRUE,TRUE,TRUE,5,1,3,TRUE
35,3.58351893845611,3.49,1.501852701754163,12,2.5649493574615367,0,1,2010,TRUE,FALSE,FALSE,2,1,2,FALSE
